driver,text,grand_prix,conference_type,team
Charles Leclerc,"Yeah, I’ll start in English, I'll finish in Italian, as always. But yeah, it's amazing. I mean, it wasn't an easy qualifying session. I knew that there was quite a bit of potential in the car but I didn't put everything together. I knew that in this last lap in Q3 I had to put everything together and I managed to do it, so very happy with the lap, very happy with the performance. It has been a great weekend until now. The feeling with a car is amazing. And I really hope that we can do just like in 2019 tomorrow. I just took much more risk! It was the last lap and I knew I had to find quite a lot of performance there and I just went for it and it worked out. It feels really, really good. We still need to finalise this tomorrow, otherwise it's pointless to do the pole on Saturday, but it is a very good surprise today, considering where we come from, especially in Spa. We were not expecting to fight for pole here. So it's a very good surprise at home. Yeah, there's a special motivation for this weekend and it’s great that we managed to do a good job today. I mean, in FP1 and FP2 we tested a lot of things across cars, with Carlos, a lot of different things and we found different directions that were interesting. We were really struggling a lot in Spa and, yeah, we found some pace. So it's good. It shows that we worked in the right direction and I hope that tomorrow we can show that in the race also. There's always something more, no? But the lap, I'm extremely happy with. In the first run of Q3, I didn’t do a great lap, but then managed to put everything together on the second lap. So yeah, there's always a bit more, but I'm very, very happy with that one. Well, a good start, obviously, as always, and then we'll see. I think the race pace is strong, the feeling was really, really good. So, whatever happens in the first lap, I think we still have the pace to win this race, so we'll try to put everything together, no mistakes during the race and I think we can have a good Sunday. I think more the experience that I gained from 2019 to now will be more helpful than the experience in 2019. I was a very, very different driver, struggling a lot in races at the time and now I'm in a much better place. So yeah, in 2019 I was not so confident going into the race. This year,  it's better and honestly the feeling was really good on the high fuel. So it's not going to be easy because for sure Max will be extremely quick and will be coming back but I'm sure that we can make this work. The lap was on the limit and I had some snaps here and there but overall, I'm very happy with the car balance and yeah, also with this downforce level I felt like the car is very predictable this weekend and just very happy with the feeling that I get from the car. So it's a good time for tomorrow, Well, I think overall, after each mistake we learned from them and we try to be better as a team. It's not because we are here in Monza that it's more important than other races to not doing any mistakes. We need to become a team that does no mistakes wherever we go. So yeah, it is a special weekend for us but the target for us doesn't change. We just need to have a clean race and a good race. So yeah, we'll be targeting that, and let's see.",Italy,post-qualifying,Ferrari
Max Verstappen,"Yeah, it was close. But of course, we chose to go for a bit more downforce around here and I think over one lap it's maybe not the best. But I think for tomorrow it can be quite strong – and also knowing that we have to start a bit back, you know. But I think, all in all, it was still a good lap. I’ve enjoyed the whole weekend so far and I think it will be an interesting battle tomorrow. Yeah, just you know, trying to stay out of trouble, of course, in the beginning and then just work my way forward. Yeah, I think the lap was pretty decent. Just the first sector we seem to be a little bit slow. So probably better straight-line speed, bit of the first chicane, not finding the right grip, but I think overall the rest of that felt pretty strong. Yeah, we chose, of course, the downforce level a bit higher, compared to some other cars but it felt alright and, of course, you know around here qualifying to race can always feel a bit different and my race runs, they felt really good, so very happy with that pace. So, I'm actually really looking forward to the race tomorrow. I should normally be better for tyre deg, and hopefully we can show that tomorrow. With what I've seen from the long runs, it looks good from our side. I just need to have a clean Lap One, clear the cars in between us quite quickly, and then I think we still have a good chance, yeah. I think it's P7. Unless I'm stupid. But I think it's P7. No, seventh. You need to read the rules. I think (compared) to some other cars, we still have very good top speed. I think it's just Ferraris’ a little bit faster than us on the straights so I'm still expecting to get through the field and hopefully once I get close to Charles, it will be a bit more of a battle but then we have to rely on just a bit more downforce through  the corners.",Italy,post-qualifying,Red Bull
Carlos Sainz,"Yeah, no, it was honestly a very good quali session. I was feeling very well and I was pushing flat out through Q1, Q2, and Q3. The only issue is that in Q3 I didn't have a tow and this probably cost me those two or three tenths, you know, in the battle for pole position. But, you know, I'm starting last anyway tomorrow, so it's not like it changes my life. But yeah, very good lap. I had to take a lot of risks to compensate for the lack of tow. I was quicker in every corner but slower in every straight. So in the end I could not improve much. Yeah. I mean, I'm not going to lie. It hurts to be starting at the back tomorrow, especially with how competitive the car is this weekend. How good I'm feeling on the car, especially after this quali. And to know that I'd be starting at the back… I mean, I will do my best and I will try to put on a good show and make it back through the field because the pace is there, but I wish I could be there at the front with Charles in order to try and do a 1-2 tomorrow for the tifosi. It was a good run. I had a bit of a messy out-lap because I didn’t manage to find a good tow and I had to slow down a bit before the last corner to see if Lando was going through and giving me a tow – but he was clever enough not to do it. It’s a shame though, because my lap there, the 20.4, I had to without the tow.  And around here it’s a bit costly. It was a lap on the limit: everything that I was losing on the straights, I had to pick it back up on the corners. I still managed to improve my Q3, first run lap by quite a bit. So, yeah, it means that in the corners, I must have pushed quite hard, no? But a bit of a shame not to have the tow to content for pole there. I think the overall feeling of the car since we put the car down in FP1, it was just a lot better than in Spa, the balance was a lot more together. So, it means that all the hard work done over these last couple of weeks is paying off. We've gone back to Maranello and put a lot of effort in trying to understand where can we do better and why maybe last two races haven't been going as planned. It doesn't mean that tomorrow we will be a lot more competitive, but it at least means that for today, we've put ourselves on pole and P3 at a track that we didn't expect. So, I'm happy for that and hopefully we can do a good recovery tomorrow. I don't know! I'm going to push obviously, flat out from the beginning, try to make as many positions at the start, and just get to the front as quick as possible. Because then, if there's a Safety Car or anything, then anything can happen around Monza. I think it’s going to be a very mixed race, there’s a lot of cars out of position. So, there's going to be a lot of battles during the whole race. It's going to be quite a hectic one, especially those first 20 laps, I think. But then everything should settle down. Where can I get to? I wish top five like in France would be a good result. But given how quick the Mercedes are lately, is going to be a bit more tricky. For sure. I mean, the feeling that we have as drivers here is… it cannot be compared to anything else. Since the moment we leave the hotel, ‘til the moment we go back to a hotel, there's just a massive push and a massive cheer for us everywhere we go to. There's a particular excitement about Ferrari, about us here. It's a very special feeling that is very difficult to describe. I always struggled to describe it, but this, for sure, it's given us an extra tenth this weekend that we hope we can use to our advantage tomorrow. Yeah, I think it's no secret that the last - I don't want to put that number - but I would say five, seven races have been a lot closer over one lap pace, and I've been battling for a lot more pole positions and a lot better qualifying recently. Race pace is still a bit of an unknown for me going into tomorrow because we couldn't go as many long runs as I would have wished. And also recently, race pace is a bit of a thing that I want to improve or keep improving, but at least the improvement that I've done with the car together with my engineers trying to get myself a bit more comfortable, trying to change a bit the driving towards what Charles was doing, and that was exploiting the car to a limit, has also been working well and I'm fighting a lot more and I'm in a much better place. But yeah, let's see tomorrow and the next races. My target is to finish the season strongly, to try and put myself in a good position going into next year.",Italy,post-qualifying,Ferrari
Sebastian Vettel,"Well, I like Monza, I love the track. Obviously, there's a lot of memories. I don't… you know I don't wake… I didn't wake up this morning, I won't wake up on Sunday thinking this is the last time in Monza. So it's not how I approached the races but yeah, I'm looking forward to the weekend. It's usually a great atmosphere.  Obviously, having driven for Ferrari in the past, there's a lot of support for Ferrari, a lot of support for Formula 1 so I think we can all look forward to a great weekend. And like I said, for me it has a bit of an extra meaning because I celebrated my first win here. I think it's Monza's 100th anniversary this weekend, so yeah, should be cool. Well, it was a long time ago. But I think your first win always remain something special so to answer your question, probably pretty high but then it's quite a luxury to be able to choose from so many. And for sure, right now, I can't compare all of them but I would say the first one is very special. Also the circumstances, you know; it was a bit of a miracle and fairy tale, pulling it off with a pole and then the race win. So yeah, very special. Yeah, I think overall we’ve made a little bit of progress in the… obviously now the last months but yeah, I think it is very tight, we are in the midfield and it's very tight being at the back of the midfield or just in the middle with a couple of other teams. So it definitely helped us to make small steps forward because we were able here and there to fight for points and that is the target as well for this weekend. Now, here, it's a different track; everybody's running as little downforce as they can so we'll see where it takes us. Got bored and I thought it was something different. Yeah, I've never had the problem with coming out of the hotel but maybe it's Charles' good looks that make him so popular!  No, I think it's an extreme pleasure, it's an honour and I think from what I had experienced in all these years, is just… they're happy for you to drive the red car and push you on. I've had races and bad races; they seem both times equally excited. For sure they love you to be on the podium and meet you there and love Ferrari to do well but even if you don't… it's not like they start to hate you, there's still a lot of love and support. So it's a great feeling as a driver to experience. I think you when you race for Ferrari in Monza, in Italy then you will be confronted with rumours, but like Fernando said rumours are rumours. I haven't heard that particular rumour but yeah, I think it's probably something you have to deal with when you are racing for Ferrari in Italy. But equally in two weeks’ time we will be somewhere else and you have to deal with it less. Yeah, rumours are there but as I said, I don't know anything right now. No, I haven't spoken to him. So, yeah, I don't know. I heard that he… I know him for a long time now and he's a very clever and intelligent guy. So I don't know. Next time I see him I’ll probably talk to him. But I don't know what the interview was or what the question was to him. I know from my own experience, if you only take bits, then… So, it's not probably not… It's pointless to say anything now because it will only go back, so happier to sort it out with him, if there is anything to sort out or any misunderstanding or anything that he wonders or I don't know. Well, I think it was 2020. But yeah, I mean, obviously, you know, I made the decision to join Aston Martin before I think it was really in discussion that Alex is going to leave. So it was never really close. But of course, I know, Christian, I know Helmut. So for sure. I had a, you know, sort of brief chat with them, but never really anything serious. And I also know and knew that if it was, would have been an option or series, we would have at least talked about it. But it never came to that point. So obviously, a couple of months later, you could look back and say if, and what if, and so on. But I'm happy with the choice I made. And obviously, you know, expected that we will be more competitive last year and this year, but we were not. And I'm very happy with the way the team has progressed and [how] we are working together. So obviously it's not the dream sort of coming true, racing in the positions we are racing, but you know, it's been a challenge and I think I've accepted it and tried to make the most of it. I don't know at the moment, I'm not considering anything, because, you know, I'm stepping away. So, time will tell what will be something that is possible to do, if there is an offer of any such nature or not, and then I will I will see how I feel like, you know, at the moment. I'm quite happy to spend more time on other things and look forward to seeing the kids more and stuff like that. And then time will tell whether I get bored within three months or three years. I don't know. So we will see. Same.",Italy,thursday,Aston Martin
Kevin Magnussen,"Well, I think the car had good performance. Mick qualified P8 which was a good result. That's kind of our…  where we wish to be, in contention for points and stuff like that. So I think I messed up in qualifying and then didn't get out of Q1 although the car had the pace, I just made a mistake and got a bit unlucky with traffic and then I was out so I got my lap deleted even, and had to start 18th. And then in the race I tried…  you’ve got to take risks on the first lap. I got a few positions but then made another mistake in turn two and went off the track and was last so it was a bit of a wasted weekend like that, just  didn't get anything out of it. For this one, probably a little lower. We don't have this super low downforce configuration that you would use here and then in Baku, for example, we also were struggling a bit but in Baku, for example, in the race, we were still a little bit racy. So I thought we could score points there; I had an engine failure so I didn't finish the race but I was running inside the points and that was pretty unexpected with the package we ran there and so naturally I hope we can do that again here but with what we're running, not our favourite track. Pretty obvious;  of course we need fast drivers and drivers that are consistent, can score points, can help drive the team forward but I think right now we have me and Mick and it's not going too badly, I think so I don't really have any strong opinions either way. It's up to Guenther and of course the management to sort that one out. I'm not here to speculate or be involved in that. Again, I'm not here to really take part in that. I don't really have an opinion on that. I think Mick is doing a good job and that's all I can say. Nothing to add really?",Italy,thursday,Haas
Charles Leclerc,"Well, this one is particularly different because for once I'm not red but in yellow. It's a special colour for this weekend to celebrate the 75 years of Ferrari and it's nice and as always the Monza week is just crazy busy for us but it's always an incredible feeling. We had some events yesterday in Milan, so many people, so much support and it's just great. They make you feel at home so  yeah, it's great and hopefully we'll have a good weekend. I like it. I like it. It’s a bit strange now to see me wear yellow this morning with the Ferrari logo but it's cool. I think for one race it's really good. I think it was in 2014 for my first year in single seaters. And I think - but I've got a very bad memory so that might be wrong - but I think this was my first victory in single seaters. So yeah, I always really liked Monza I think it's going to be a bit of a difficult weekend, on paper at least it is going to be a difficult weekend. We expect Red Bull to be stronger. It's not… the track characteristics don't exactly fit our car but again, we've had some good and bad surprises this year so hopefully this one is one of the good ones and that we overperformed compared to what we expect. For me, it's pure pleasure. Of course you can feel the expectations. As I was saying, whenever you are doing the events in Milan, especially, you can see that everybody in the city is behind you, is behind Ferrari and have high expectations but it's part of it. And I take it more as a motivation, more than an added pressure but it's incredible. Even to get out of the hotel it's  pretty difficult to come to the track. I guess it's similar for the drivers but when you are Ferrari there's this little bit more but that just feels really, really nice. Yeah, there are always rumours around a Formula 1 team and especially with Ferrari but I think that what is most important in those moments is not to get distracted with whatever is being said around.  We are very united as a team and I think we need to keep on going like this. We've shown that we've been great from last year to this year doing this type of performance and we need to keep working in that direction. Obviously taking off all of these outside rumours. I didn’t hear that one in particular, but obviously we just have to focus on our own job. I think, comparing to Red Bull especially because it's a bit more consistent throughout the whole year, we are slower down the straights. Their main strength this year are the straight line speeds, we seem to be a bit quicker in the corners. But in tracks like here it's not enough to gain back the advantage that they have on the straights. So compared to Red Bull, I think this will be the case this weekend. Compared to Mercedes, it's a little bit more difficult, it's been a bit up and down. Sometimes they are very, very quick. Sometimes they struggle a bit more, so a bit more difficult to predict. I don't know, I think for the qualifying game, it probably will be the same, because even if it's less worth it, it's still worth it. And people will go for… I mean, drivers will always go for that little last bit in qualifying. So I think it will always be trickier in quali than for the race. I think with these cars we can follow a bit closer in the medium- and high-speed but the tow is obviously worth a little bit less also in the straights. Having said that, I think it will be hugely dependent on whether there's a train of cars with the DRS. In that situation, it will be very, very tricky to overtake. If not, then I think it should be fairly easy. This is very difficult to know. I mean, I don't know exactly what they have under the covers, but they have a very efficient car for sure. Again, we've been normally stronger on high downforce tracks that have been stronger on low downforce tracks. How much of this is coming from the engine or the package? I'm not sure to be honest.",Italy,thursday,Ferrari
Fernando Alonso,"Yeah, as you said,  I think we are in a good run now. We found some consistency even though these 10 last races were not completely out of trouble for us. One of those was Barcelona;  we changed the engine, we started last.  One of those was Austria;  the car didn't start on the sprint race and we started last on Sunday so we still need to improve a few things to have completely clean weekends and if we do so probably we will be in the points in the future races I think we are in the same place as we have been all year long. I think we are right behind the top three teams so our natural position, let's say, is seventh, seventh and eighth so we need some help always, from the cars in front.  Sometimes there are penalties involved like in Spa and we start third on the grid. Here there are some other penalties that will come with Carlos and Lewis, I heard, so we could have a better starting position but lately in the race we eventually ended up in our natural (position). Let's see. I think we don't have any specific Monza downforce, let's say, or rear wing so let's see how we can perform here.  The car was very good in Baku and Spa so I don't see any reason why we should not be competitive but I think it's going to come some other races that we will be also fast: maybe Suzuka, Austin so I'm looking forward to all the races,  basically. Yeah, I know the number because every weekend we keep repeating it, but I'm not into this so much. I'm happy to be in Formula 1 for so many years and with the two more coming, or whatever, how long I will be in Formula 1 I will reach 400 for sure so that's a big number. And yeah, it shows my passion for the sport and my discipline to perform at the high level. If you are not performing, the team will not give you 400 Grands Prix  for sure. Yeah, same comments. It's an extra motivation but never a pressure, your performance is not affected by this and if anything they give you extra, so I think it's one of the best moments of the year for sure. At least in my case, I never paid too much attention to rumours so all these things when you are in Ferrari…  When you're in Formula 1 in general you have to perform, if not things will change. It’s the same for drivers, mechanics, designers, bosses.  There's a huge pressure.  This is not a charity event. This is professional sports. I do enjoy it for sure. We would love to fight for the championship or for podiums, there’s always wins but we don't have that possibility yet. But yeah, I'm happy with the performance this year. As I said at the beginning of the year, I think we lost 40-50 good points at the beginning of the year with reliability issues. And with those points, the situation in the championship will be very different, also with McLaren in the fight in the Constructors, so I'm happy and proud with the performance and I think together with 2012, probably they have been my best two seasons, even higher than the championship ones that we have a dominant car on those years. So 2012, 2022, next one will be 2032! Exactly the same, I mean, it’s less than previous years, but it’s still worth a little bit. So it's better not to be the first car, but maybe we are not as stressed as in the past in the last corner, so we should be sure, hopefully. Is that fun? Hopefully. No, I mean, I think it's going to be a great opportunity for him to feel these modern cars, which probably he will be, you know, amazed to feel, and the hybrid power of the engines. And yeah, I met him in the elevator in Zandvoort and he said, ‘I need some tips for next week’, so if I have five minutes, I will take a coffee with him and brief him on whatever he needs to ask. But I think it's going to be straightforward. The cars now are easier to drive in a way. We have more comfort in the car than 15 years ago. The engines they don't need to rev you know, in the last 1000 RPM, now you can drive in any gear out of the corners. So I think it's a bit easier.",Italy,thursday,Alpine
Nicholas Latifi,"The power unit issue in qualifying, yeah we did get on top of it and it wasn't an issue any more in the race. As to the general lack of pace on the weekend still; yeah, some question marks there to be honest. Not a crazy amount of time to go through it in between the two races, obviously.  This weekend is completely different, let's say,  the man from the driver and the car so just kind of looking to focus on this weekend and we have a bigger break after Monza, but before Singapore we'll do a roundup of the past few races. I expect to be very quick in the straight, we saw that in Spa, that was the case. So I think on paper, the car should perform at a higher level here relative to Zandvoort. But at the same time, just being quick in the straight line isn't everything, you still do need to be quick in the corners. In Spa, for example, I think we were quickest in the straight line but then we were also slowest in the second sector which is where all the corners are so it does balance out. The car is quick in the straights because we are lacking downforce so obviously, thankfully, you don't need too much of that around here in Monza so I am hoping that's going to be a relative step forward in performance. But at the same time last year, we were one of the quickest in the straight lines here and we struggled to get out of Q1 with both cars. So again, it's not all about straight line speed, here you do need a car that still gives you the confidence to attack the braking zones and play on the edge with the car in those high speed corners. So it's not all about top speed. I think what we've seen this year is that the tow is worth less than last year, but it's still worth something. I’ve seen that in Spa, we’ve seen that at other tracks. So it's definitely still going to be, I think, an advantage if you can get a good one. As for the way the runs will unfold, I think yeah, Q1 in particular is probably always going to be quite tricky. And yeah, naturally, no one's going to want to be the first car because again, the tow is still worth something. So yeah, I expect it to still be not as straightforward as it is at most other tracks.",Italy,thursday,Williams
Daniel Ricciardo,"I’m going to cover this. This is ridiculous. I have Lando’s face on my neck. Anyway, we did a little thing this morning with a team and gosh, anyway… So I yeah, he looks sunburnt. He's got a few on him as well. So anyway, you'll see later I'm sure. But it is cool, I mean, obviously last year was so special. A big moment. It's a year on, you know, those big moments and memories still seem so much at the forefront of your mind and it feels very recent, everything is still very vivid when I think back on it now. But I think Monza is a place that I've always enjoyed, you know, and results aside, it's a fun track – low downforce, high speed, best pizza in the world, all these all these things that make it fun and nice. And yeah, mum and dad are here this weekend. It's their second race, I think second or maybe third since COVID. So nice to have them here. And yeah, it's good to be back. No, it's still there. Everything's still there. Look, you know, I don't want to say, yeah, we're going to repeat it this year, but obviously just coming into a circuit with those good feelings and good memories and stuff, it's cool. And as I said, like, take the win away, I've always just come to this track and enjoyed my time here. And it's a circuit that I have fun on. I saw they have resurfaced a few corners, but I think the track is still the same. The character of the track is still the same. So looking forward to going out here and getting my teeth stuck in. Don't know. I don't know yet. I mean, look, obviously this year it's hard for me to be like, ‘yeah, we're going to finish on the podium this year’. I would just be saying that to say it. I think we'll be alright. But who knows. So,. to be determined. TBD. I'm really assessing everything. In short, I don't have anything teed up yet. Like, I don't have anything confirmed. And I think when I do, I'll be the first to tell you. There’s no reason for me to hold back any information now. There's no secrets. It's kind of all open and out there. I'm sure over time, the right thing, whatever that ends up being. will make sense. And I think as well, you know, it's not just about what's right for next year, it's what's right for my future, you know. It goes beyond 2023. So it's complex, but when I know you will, We're happy with the decision for sure. Yeah, I agree. Honestly, I just don't want to waste your time. There's not much more to say but I'm happy with it. No comment. Just kidding! The truth is I'm keeping every option open for, as I said, not only next year, but for the future. I still don't know what next year looks like. As Lewis said earlier, I do want to be on the grid, I do want to race. You know, I touched on a few weeks ago that, although this has been like, certainly a challenging time in my career, it hasn't taken the love of the sport away from me and that desire to still be here and still compete. So yeah, obviously many talks or thoughts about next year and beyond that. But as I said, I'm still not sure what that looks like. I asked if I could do less simulator. Just kidding. No, it was clear when all this was decided that anything related to this year, and getting the most out of the rest of the year remains the same. So, if there's any talks about next year's car, then yes, I'm not involved in that. But I also wouldn't expect to be involved in that. But as far as, yeah I'm still simulating, still in all the briefings, the meetings and all the engineering stuff. So yeah, 2022 remained unchanged.",Italy,thursday,McLaren
Lewis Hamilton,"I think he should be racing, personally. I think he's far too talented to... And he's earned the right to be amongst us all, racing. But of course, if he's a part of our team that would be great. But I mean, the third role is not really, I think, what's best for him. I was managing him, he’d be racing. I mean, it's one of the originals, the classics, the historic circuits. It's the fastest circuit that we have on the calendar. It’s unique in its layout. It’s so much different to all the other circuits that we go to. And then the crowd is incredible here. So, you've got that whole sea of red most often, particularly at the end of the races, but it's great for overtaking and the thrill of driving here, because you're on low downforce and you've kind of floating on the surface of the tyres, is pretty epic. So I'm really grateful for the wins that I've had. I remember my first race here, in 2007 and the pass on Kimi, and, you know, it's not an easy circuit, and it throws lots of spanners in the works. As good as I can feel. Of course, you'd always feel better if you came off a win. But still, we've been making so much progress as a team. We've closed the gap more… At least we’re closing the gap more and more, weekend after weekend. And, of course, we don't know how the car is going to be here this weekend, whether or not it will be as good as it was in the last race, we'll find out. But yeah, I mean, my third engine that I had brand new in Spa is still being worked on, so I can't use it right now, so I have to take a fourth. So that's my doing. And we're still hopeful we can use that later on. But yeah, so I've got to kind of recover the best I can from the back. I don't think it'll be worse. That's a positive way of looking at it. It can't be worse than Spa, I don't think. No, I think it will be a lot better here. Honestly, it had zero importance to me. So it's… I'm grateful that each year, we have had, since 2007, an opportunity to win. I do believe that we're going to have a chance this year, still got some races to go. And that's definitely a real big goal for us as a team, to get back to the front and be fighting for the lead., I've not really thought of where our car… I have no idea where our car is going to be great. So, you know, it was a surprise when we got in the car last week, and the car felt so much better than it… like completely different to the previous weekend. But I'm hoping more often than not, it feels like Budapest and the last race for the rest of the races. I'm not focused on the record but of course, I'm trying to get that win this year. But the record is not important to me. Just because I don't really care about records in general, so… I think at least second. We obviously got…  we had good pace; we were closing on our on our one-stop strategy. We were obviously really unfortunate with the VSC. And that seems to have happened a lot this year. Basically, when you're doing slow laps, you're in one strategy, and when you go to start lap, you're in a different strategy and I was slightly late to it, but it wouldn't have made a difference. They’ve calculated the distance. I was into it, on the bank on the straight and either way he was coming past, so… Well, I mean, it's not an easy role for anyone, I think it takes time to get into a role and, and build all the relationships, and again, also to implement change. But I think the most important thing for right now is the drivers. We're trying to build that connection with the drivers, all of us, the GPDA, we're all united, and we want to help make the racing better. We want to help the FIA, and Mohammed has been really open with that. So yep, we're just going to continue to work on that communication. I'm in touch with him quite a lot. We actually speak quite a bit. And, and he's very, very driven for… he's competitive. He used to race himself, so he has a competitor sort-of mindset. And he's also very keen on diversity, and really pushing for future change. So he wants to collaborate with us all on that. So I'm quite happy with it I mean, it's always complicated. But I would say… look, we've been very strong in the past, we've won world titles, our communication continues to improve. We're holding more meetings, and breakout group conversations about…  and I'm trying to just help give as much feedback as I can about what I'm feeling in the car and what are those limitations where I could gain time. These will be things that they won't be able to see in the data, that the driver is able to bring to it. So, working closely with George also on that. But there is potential in the cars: We've got downforce, it's just in some places it we're not able to utilise it. And ride quality, of course, is an area that we can always be better. So I'm comfortable the direction that we're going and have 1,000% confidence in the guys back at the factory, who are stringing together all these pieces of the puzzle, and have no doubt that we will be back in a fighting position next year. The drag? I can't answer that. Honestly. I think that's more for the aero… I'm not an aerodynamicist. As I said, we do tend to have a bit of a draggy car, I think, this year. I can't really answer much more to it. I'm always asking the question and I think we're all trying to understand it. And yeah, try to make sure we rectify that for next year. Do I have the same feeling? Oh, for sure, it's a challenge. For me, it's just winning another World Championship. It's like, every one, I've approached it as my first, and the feeling of winning the World Championship, it's so unique and special in its own way. But of course, the idea that no driver in history has ever gone past seven, of course, you want to try and accomplish that. But what I guess, as you get older, you realise the journey is the most important part and the ride that you do with all the people and all the people that you bring with you, and all the people that you try to elevate… there's an opportunity to elevate lots of people, not only in your team, but with the work that we're doing, with Mission 44, there's a much bigger picture to it. But from a personal point of view, yeah, winning another world title continues to be a goal. I'll be so proud to be able to do that for this team. So, I mean, look, for years, we'll be going around, up and down with stories of retirement and stopping and for me, I feel healthier than I've ever felt, as I focus a lot on that, I'm feeling fit. I love what I'm doing – and I don't plan on stopping anytime soon – sorry Buddy – but I'm very… my goal was always to be with Mercedes, y’know, I signed with them in 1997. I love that we have the long partnership we have, I feel like we are embarking on a lot of really positive things, not only in the sport, but outside. And I think there's a lot of work, a lot to accomplish together. So I want to be a part of that. I think I'll always be with Mercedes ‘til the day I die. And I feel like I can race for quite a bit longer. So, I'll be potentially steering towards that.",Italy,thursday,Mercedes
Sergio Pérez,"Yeah, it was very impressive. Once we jumped on the sailboat, it was super, super impressive to see how they're able to jump side by side. It was really, really enjoyable and a great experience and a lot of respect for what they do. You know, looking from the outside, you don't tend to think that they're that impressive. Yeah, certainly, in terms of learning on the wind, understanding directions on how to optimise your power, your energies, when to put the energies into it, when to push, when not to. So, I think there's definitely a lot of similarities with our sports. It's a great podium to be in, you know, the tifosi really may make it very special. So being on the podium here, it's certainly one of the most special ones in the whole calendar. So yeah, it will be really nice to get there this weekend. I will hope that we have the similar pace to what we have shown in Spa, that will be good. But certainly, I believe that this track, it’s a little bit different to Belgium, certainly the weather will be, so it will be interesting to see how we are able to perform. For example, Mercedes was very strong last weekend, especially with the tyre deg, so yeah, it will be an interesting one this Sunday. Yeah, because we were sitting really, really low. Lower than any anyone out there! And also, I think we got quite an efficient car in that regard. We’ve seen in Spa, and hopefully again in Monza, that we tend to like more the lower downforce wings. So the car seems to perform better when we run with the smaller rear wing. So hopefully, that can be a good thing again, here,. But, as I say, it's going to be very different conditions. So, we are also very curious to see how we are able to cope on these different conditions. Yeah, I think it took a bit too many incidents to remove them. Already a few years ago, we saw how dangerous they can be. But I mean, luckily, nothing bad has happened. But again, it's a great thing to get rid of them, because they can create a massive shunt.",Italy,thursday,Red Bull
Zhou Guanyu,"Yeah, I mean, there's several issues, of course after summer break it’s been extremely tough for the team, so yes, Spa we were having both cars taking the engine penalties. So obviously, we're were in with little chance for the race. But then yeah, last weekend, it was let's say probably the biggest struggle race, so far this season, in terms of this couldn't get the tyres to be working in the range. And it was very tight in Zandvoort, of course: two cars, of course, barely made it into Q2, but overall, we were finding more and more pace. Hopefully… it wasn't so bad in Spa in the low downforce track, so in Monza is again, a very important race for us, like a home race for the team, and hopefully better speed. Yeah, I mean points is of course, still there and as you know, as we saw, especially in tracks like here: low downforce, a lot of overtaking opportunities hopefully, so provides quite a lot of chances. And, yeah, it's quite true to say that we're not having the advantage we had earlier of the season, where I think we was very good on the weight, saving a lot of that, and now people are catching up, and we're being maybe not as fast as others, in terms of reductions. But we're still there, like last weekend, we saw on-tenth could be up to three positions or more. So, in that midfield battle, it’s all about putting everything together in the in the car. Yeah, we're talking about it. And there's no hurry, myself and the team are very happy for each other, the job we've done so far. It wasn't an easy season, let's say, for the rookie campaign. But for my side, I'm quite happy working with everyone in the team. And yeah, we're talking about it. Nothing has been confirmed but hopefully I get more information soon, and I get it all done. So now, I’m just focused on delivering a great race and hopefully get the team back in the points. All right. Best Yeah, to be honest, I was quite surprised at the beginning of the year, because obviously, being in Formula 1 for the first year, and to see how much power the driver actually can affect – which I think is very positive things to take – because most of us are agreed into the same thing, depends on what tracks and what needs to be changing. So of course, the Race Director, under fire, trying their best to even do the change, for example: I think in thing Miami or something,  just over the night. So, it was great to see that. Of course, the sausage kerbs is making racing quite difficult when you're racing side-by-side, not just for us also for the feeder series, you know, there's been a few incidents in Monza in the past, so I think it’s definitely a good way to go.",Italy,thursday,Alfa Romeo
